strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
Leader_A + Risk_0~24,"leaderGrade in [A] AND scoutRiskScore between [0,24]",1,cooldown,4728,2267,6995,0.13,0.18,0.14,-0.05,1.08,1.08,45.13,-0.46,0.13,4.82,-4.26,50.11,34.05,54.34,31.72,-99.87,false,leaderGrade×risk,0,유망
Leader_A + Risk_0~24,"leaderGrade in [A] AND scoutRiskScore between [0,24]",3,cooldown,2611,1318,3929,0.68,0.98,0.78,-0.3,1.3,1.34,47.65,-0.34,0.26,7.77,-5.82,64.8,50.61,66.54,46.43,-99.41,false,leaderGrade×risk,0.66,유망
Leader_A + Risk_0~24,"leaderGrade in [A] AND scoutRiskScore between [0,24]",5,cooldown,1881,961,2842,1.27,2.14,1.56,-0.87,1.49,1.65,51.72,0.38,0.38,10.37,-6.9,72.42,59.42,72.22,53.28,-98.08,false,leaderGrade×risk,1.33,유망
Leader_A + Risk_0~24,"leaderGrade in [A] AND scoutRiskScore between [0,24]",10,cooldown,1180,638,1818,2.74,4.52,3.36,-1.78,1.88,2.1,50.94,0.24,0.94,16.3,-8.82,81.66,70.53,76.49,63.79,-99.18,false,leaderGrade×risk,2.7,유망
Leader_A + Risk_0~24,"leaderGrade in [A] AND scoutRiskScore between [0,24]",20,cooldown,745,416,1161,5.38,9.71,6.93,-4.33,2.42,3.16,56.01,3.06,1.59,26.41,-11.26,88.94,82.21,84.13,72.36,-98.72,false,leaderGrade×risk,5.24,유망
Leader_A + Risk_0~24,"leaderGrade in [A] AND scoutRiskScore between [0,24]",60,cooldown,389,223,612,18.18,28.11,21.8,-9.93,6.03,3.84,59.19,13.58,8.07,68.37,-19.38,95.07,90.58,90.58,82.96,-100,false,leaderGrade×risk,39.14,역효과
Leader_A + Risk_25~39,"leaderGrade in [A] AND scoutRiskScore between [25,39]",1,cooldown,1302,2574,3876,0.54,-0.02,0.17,0.56,1.22,0.99,45.49,-0.79,0.37,7.24,-6.42,64.18,48.95,68.92,51.67,-100,true,leaderGrade×risk,0,역효과
Leader_A + Risk_25~39,"leaderGrade in [A] AND scoutRiskScore between [25,39]",3,cooldown,753,1488,2241,1.25,0.88,1,0.37,1.38,1.2,46.3,-0.91,0.77,11.08,-8.76,74.13,61.83,79.37,65.66,-100,false,leaderGrade×risk,0.66,유망
Leader_A + Risk_25~39,"leaderGrade in [A] AND scoutRiskScore between [25,39]",5,cooldown,570,1085,1655,1.68,1.76,1.73,-0.08,1.39,1.33,46.82,-0.8,1.1,14.25,-10.6,78.89,66.82,82.86,70.97,-100,false,leaderGrade×risk,1.33,유망
Leader_A + Risk_25~39,"leaderGrade in [A] AND scoutRiskScore between [25,39]",10,cooldown,377,712,1089,3.75,3.57,3.63,0.18,1.74,1.56,49.44,-0.23,1.68,20.66,-13.21,84.97,76.69,85.53,75.84,-100,false,leaderGrade×risk,2.7,유망
Leader_A + Risk_25~39,"leaderGrade in [A] AND scoutRiskScore between [25,39]",20,cooldown,277,449,726,6.67,8.23,7.64,-1.56,2.17,2.03,49.89,-0.23,3.17,32.27,-16.44,89.53,81.96,88.64,81.07,-100,false,leaderGrade×risk,5.24,유망
