strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,rankSystem,topN,baselineTestAvgPct,verdict
종합타이밍_TOP3,ALL,1,cohort,1688,1033,2721,-0.07,-0.06,-0.07,-0.01,0.96,0.98,44.34,-0.66,-0.1,5.67,-5.17,56.63,40.85,62.15,41.24,-99.85,false,topN,종합타이밍,3,0,역효과
종합타이밍_TOP3,ALL,3,cohort,1688,1021,2709,0.3,0.63,0.43,-0.33,1.12,1.18,46.33,-0.75,0,8.61,-7.09,68.56,54.65,72.87,54.95,-99.91,false,topN,종합타이밍,3,0.66,역효과
종합타이밍_TOP3,ALL,5,cohort,1688,1010,2698,0.93,1.53,1.15,-0.6,1.31,1.36,48.02,-0.23,0.31,11.31,-8.51,75.74,62.97,77.43,62.48,-99.99,false,topN,종합타이밍,3,1.33,유망
종합타이밍_TOP3,ALL,10,cohort,1688,984,2672,2.19,2.64,2.36,-0.45,1.58,1.48,46.44,-1.33,0.32,16.73,-11.11,80.89,71.85,83.84,72.76,-100,false,topN,종합타이밍,3,2.7,역효과
종합타이밍_TOP3,ALL,20,cohort,1688,929,2617,5.17,7.01,5.82,-1.84,2.13,2.08,51.24,0.83,1.49,26.29,-14.03,87.3,80.09,88.27,79.22,-100,false,topN,종합타이밍,3,5.24,유망
종합타이밍_TOP3,ALL,60,cohort,1688,736,2424,17.64,24.73,19.79,-7.09,4.77,3.54,58.15,9,-0.38,68.27,-20.07,94.84,91.85,91.3,84.78,-100,false,topN,종합타이밍,3,39.14,역효과
종합타이밍_TOP5,ALL,1,cohort,2787,1604,4391,-0.15,0.06,-0.07,-0.21,0.92,1.02,44.2,-0.69,0.03,5.51,-4.97,53.8,37.72,60.72,39.53,-99.93,false,topN,종합타이밍,5,0,유망
종합타이밍_TOP5,ALL,3,cohort,2787,1584,4371,0.32,0.77,0.48,-0.45,1.13,1.23,46.91,-0.63,0.09,8.44,-6.77,66.73,53.16,71.09,52.34,-99.98,false,topN,종합타이밍,5,0.66,유망
종합타이밍_TOP5,ALL,5,cohort,2787,1569,4356,0.89,1.6,1.15,-0.71,1.3,1.4,48.18,-0.23,0.27,11.05,-8.19,73.74,61.38,76.42,60.48,-100,false,topN,종합타이밍,5,1.33,유망
종합타이밍_TOP5,ALL,10,cohort,2787,1532,4319,2.2,2.59,2.34,-0.39,1.6,1.49,46.93,-1.17,0.06,16.24,-10.75,80.09,71.34,82.64,70.69,-100,false,topN,종합타이밍,5,2.7,역효과
종합타이밍_TOP5,ALL,20,cohort,2787,1448,4235,5.14,6.62,5.65,-1.48,2.18,2.04,51.24,0.89,0.67,25.51,-13.68,86.81,79.63,87.09,77.83,-100,false,topN,종합타이밍,5,5.24,유망
종합타이밍_TOP5,ALL,60,cohort,2787,1172,3959,17.07,24.87,19.38,-7.8,4.81,3.62,59.04,8.7,-0.37,66.18,-19.67,94.62,91.64,90.44,83.36,-100,false,topN,종합타이밍,5,39.14,역효과
종합타이밍_TOP10,ALL,1,cohort,5131,2618,7749,-0.09,0.1,-0.02,-0.19,0.95,1.04,44.65,-0.68,0.1,5.34,-4.74,53.09,36.97,58.79,36.36,-100,false,topN,종합타이밍,10,0,유망
종합타이밍_TOP10,ALL,3,cohort,5131,2581,7712,0.43,0.92,0.6,-0.49,1.19,1.29,47.62,-0.43,0.15,8.33,-6.45,66.72,52.77,69.51,49.94,-100,false,topN,종합타이밍,10,0.66,유망
종합타이밍_TOP10,ALL,5,cohort,5131,2556,7687,0.94,1.69,1.19,-0.75,1.34,1.44,48.36,-0.3,0.17,10.93,-7.84,73.79,61.27,75.04,57.82,-100,false,topN,종합타이밍,10,1.33,유망
종합타이밍_TOP10,ALL,10,cohort,5131,2504,7635,2.12,2.82,2.35,-0.7,1.61,1.56,48.04,-0.79,-0.06,16.05,-10.26,80.39,71.21,81.23,68.85,-100,false,topN,종합타이밍,10,2.7,유망
종합타이밍_TOP10,ALL,20,cohort,5131,2382,7513,4.86,6.97,5.53,-2.11,2.16,2.15,52.02,1.1,0.35,25.25,-13.04,86.94,79.81,85.89,76.03,-100,false,topN,종합타이밍,10,5.24,유망
종합타이밍_TOP10,ALL,60,cohort,5131,2014,7145,16.42,25.44,18.97,-9.02,4.73,3.91,60.72,10.59,-0.48,64.7,-18.65,95.03,92.2,89.37,82.37,-100,false,topN,종합타이밍,10,39.14,역효과
종합타이밍_TOP20,ALL,1,cohort,7359,3316,10675,-0.09,0.06,-0.04,-0.15,0.95,1.03,44.78,-0.56,0.06,5.18,-4.58,52.59,36.19,57.15,34.86,-100,false,topN,종합타이밍,20,0,유망
종합타이밍_TOP20,ALL,3,cohort,7359,3263,10622,0.41,1.03,0.6,-0.62,1.18,1.34,48.18,-0.32,0.13,8.2,-6.26,66.84,52.71,68.19,48.51,-100,false,topN,종합타이밍,20,0.66,유망
종합타이밍_TOP20,ALL,5,cohort,7359,3227,10586,0.98,1.7,1.2,-0.72,1.37,1.46,48.4,-0.23,0.05,10.68,-7.61,73.63,60.74,74.06,56.46,-100,false,topN,종합타이밍,20,1.33,유망
종합타이밍_TOP20,ALL,10,cohort,7359,3168,10527,2.12,3.01,2.39,-0.89,1.62,1.63,48.77,-0.45,-0.04,15.87,-9.96,80.9,71.34,80.43,67.49,-100,false,topN,종합타이밍,20,2.7,유망
종합타이밍_TOP20,ALL,20,cohort,7359,3034,10393,4.96,7.31,5.65,-2.35,2.23,2.27,52.93,1.4,0.29,25.21,-12.68,87.24,80.06,84.97,74.69,-100,false,topN,종합타이밍,20,5.24,유망
종합타이밍_TOP20,ALL,60,cohort,7359,2633,9992,15.88,25.58,18.43,-9.7,4.69,4.12,62.17,11.71,-0.38,63.71,-18,95.25,92.44,88.68,81.05,-100,false,topN,종합타이밍,20,39.14,역효과
RankingV2_TOP3,ALL,1,cohort,1716,1140,2856,-0.12,-0.21,-0.16,0.09,0.92,0.89,45,-0.56,-0.1,3.82,-3.57,45.44,27.02,44.3,24.56,-99.88,false,topN,RankingV2,3,0,역효과
RankingV2_TOP3,ALL,3,cohort,1716,1128,2844,0.19,0.32,0.24,-0.13,1.1,1.12,47.87,-0.23,-0.11,5.98,-5.07,60.2,43.44,57.62,39.8,-99.98,false,topN,RankingV2,3,0.66,역효과
RankingV2_TOP3,ALL,5,cohort,1716,1116,2832,0.58,0.79,0.66,-0.21,1.24,1.25,48.12,-0.23,-0.14,7.86,-6.24,67.56,51.7,63.98,46.68,-100,false,topN,RankingV2,3,1.33,역효과
RankingV2_TOP3,ALL,10,cohort,1716,1086,2802,1.48,1.52,1.49,-0.04,1.48,1.37,49.63,-0.08,-0.46,11.47,-8.37,75.14,61.05,72.19,58.56,-100,false,topN,RankingV2,3,2.7,역효과
RankingV2_TOP3,ALL,20,cohort,1716,1026,2742,3.96,1.73,3.13,2.23,2.05,1.3,47.95,-0.68,-3.04,16.36,-11.22,80.51,70.37,78.65,66.47,-100,false,topN,RankingV2,3,5.24,역효과
RankingV2_TOP3,ALL,60,cohort,1716,786,2502,15.14,9.96,13.51,5.18,4.58,1.98,53.56,2.58,-14.42,41.26,-17.65,88.17,83.59,83.33,74.55,-100,false,topN,RankingV2,3,39.14,역효과
RankingV2_TOP5,ALL,1,cohort,2860,1900,4760,0.06,-0.04,0.02,0.1,1.04,0.98,45.63,-0.48,0.08,4.15,-3.66,47.89,30.26,46.47,25.79,-100,true,topN,RankingV2,5,0,역효과
RankingV2_TOP5,ALL,3,cohort,2860,1880,4740,0.4,0.6,0.48,-0.2,1.21,1.22,49.57,-0.04,0.18,6.52,-5.18,63.24,47.07,59.04,41.49,-100,false,topN,RankingV2,5,0.66,역효과
RankingV2_TOP5,ALL,5,cohort,2860,1860,4720,0.76,1.15,0.91,-0.39,1.34,1.37,48.76,-0.23,0.22,8.56,-6.36,70.27,55,65.54,48.55,-100,false,topN,RankingV2,5,1.33,역효과
RankingV2_TOP5,ALL,10,cohort,2860,1810,4670,1.64,1.7,1.66,-0.06,1.57,1.41,48.78,-0.23,-0.28,12.22,-8.56,77.51,64.14,73.7,60.66,-100,false,topN,RankingV2,5,2.7,역효과
RankingV2_TOP5,ALL,20,cohort,2860,1710,4570,4.24,2.16,3.46,2.08,2.19,1.38,49.12,-0.23,-2.6,17.55,-11.48,82.69,73.39,79.47,68.25,-100,false,topN,RankingV2,5,5.24,역효과
RankingV2_TOP5,ALL,60,cohort,2860,1310,4170,17.02,12.41,15.57,4.61,5.41,2.27,53.59,1.94,-11.96,45.55,-17.79,90.69,86.26,85.5,77.63,-100,false,topN,RankingV2,5,39.14,역효과
RankingV2_TOP10,ALL,1,cohort,5720,3800,9520,0.08,-0.12,0,0.2,1.06,0.94,44.97,-0.58,0,4.39,-3.97,48.76,31.68,49.74,28.84,-100,true,topN,RankingV2,10,0,역효과
RankingV2_TOP10,ALL,3,cohort,5720,3760,9480,0.5,0.43,0.47,0.07,1.27,1.15,48.22,-0.29,0.01,6.81,-5.6,63.06,48.16,62.18,44.57,-100,false,topN,RankingV2,10,0.66,역효과
