strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,rankSystem,topN,baselineTestAvgPct,verdict
RankingV2_TOP10,ALL,5,cohort,5720,3720,9440,0.98,0.92,0.96,0.06,1.45,1.27,47.69,-0.43,-0.01,8.88,-6.84,70.22,56.24,68.49,52.18,-100,false,topN,RankingV2,10,1.33,역효과
RankingV2_TOP10,ALL,10,cohort,5720,3620,9340,2.18,1.24,1.82,0.94,1.79,1.27,46.71,-0.72,-0.74,12.56,-9.27,77.68,65.58,77.85,64.17,-100,false,topN,RankingV2,10,2.7,역효과
RankingV2_TOP10,ALL,20,cohort,5720,3420,9140,4.84,2.08,3.8,2.76,2.41,1.34,48.22,-0.68,-2.69,18.3,-12.43,83.77,74.77,83.68,72.02,-100,false,topN,RankingV2,10,5.24,역효과
RankingV2_TOP10,ALL,60,cohort,5720,2620,8340,18.37,13.61,16.87,4.76,5.76,2.47,54.92,3.14,-10.77,47,-18.14,92.06,88.4,88.55,80.42,-100,false,topN,RankingV2,10,39.14,역효과
RankingV2_TOP20,ALL,1,cohort,11440,7600,19040,0.12,-0.23,-0.02,0.35,1.08,0.9,44.37,-0.64,-0.11,4.46,-4.12,49.46,31.8,51.38,29.71,-100,true,topN,RankingV2,20,0,역효과
RankingV2_TOP20,ALL,3,cohort,11440,7520,18960,0.61,0.18,0.44,0.43,1.31,1.06,46.91,-0.52,-0.24,6.82,-5.84,63.39,47.62,64.06,45.21,-100,false,topN,RankingV2,20,0.66,역효과
RankingV2_TOP20,ALL,5,cohort,11440,7440,18880,1.07,0.55,0.86,0.52,1.46,1.15,46.79,-0.6,-0.38,8.83,-7.15,70.15,55.99,70.44,53.45,-100,false,topN,RankingV2,20,1.33,역효과
RankingV2_TOP20,ALL,10,cohort,11440,7240,18680,2.19,1.09,1.76,1.1,1.75,1.23,46.56,-0.84,-0.89,12.66,-9.69,78.02,66.27,79.24,65.62,-100,false,topN,RankingV2,20,2.7,역효과
RankingV2_TOP20,ALL,20,cohort,11440,6840,18280,4.69,2.6,3.9,2.09,2.34,1.4,47.94,-0.74,-2.17,19.21,-12.96,84.33,75.41,85.04,74.2,-100,false,topN,RankingV2,20,5.24,역효과
RankingV2_TOP20,ALL,60,cohort,11440,5240,16680,17.53,16.93,17.34,0.6,5.37,2.92,55.48,3.9,-7.44,51.38,-17.79,92.9,89.27,88.93,81.11,-100,false,topN,RankingV2,20,39.14,역효과
Leader_TOP3,ALL,1,cohort,1716,1140,2856,0.29,0.86,0.52,-0.57,1.13,1.25,49.21,-0.08,0.98,8.6,-6.92,67.37,53.51,68.6,51.49,-99.97,false,topN,Leader,3,0,유망
Leader_TOP3,ALL,3,cohort,1716,1128,2844,0.77,2.27,1.36,-1.5,1.24,1.48,49.56,-0.11,1.85,13.51,-9.55,77.57,66.22,78.72,63.56,-100,false,topN,Leader,3,0.66,유망
Leader_TOP3,ALL,5,cohort,1716,1116,2832,1.29,3.9,2.32,-2.61,1.34,1.72,50.72,0.19,2.97,17.91,-11.28,81.45,72.13,81.99,69.27,-100,false,topN,Leader,3,1.33,유망
Leader_TOP3,ALL,10,cohort,1716,1086,2802,2.87,6.66,4.34,-3.79,1.62,1.99,52.03,1.04,4.68,26.33,-14.3,86.56,77.99,86.1,76.7,-100,false,topN,Leader,3,2.7,유망
Leader_TOP3,ALL,20,cohort,1716,1026,2742,7.09,12.96,9.29,-5.87,2.38,2.51,51.56,1.46,8.2,41.17,-17.6,91.13,85.09,88.5,80.31,-100,false,topN,Leader,3,5.24,유망
Leader_TOP3,ALL,60,cohort,1716,786,2502,24.06,28.77,25.54,-4.71,5.88,3.33,55.85,7.95,4.4,91.39,-23.17,97.07,95.55,90.2,83.46,-100,false,topN,Leader,3,39.14,역효과
Leader_TOP5,ALL,1,cohort,2860,1900,4760,0.35,0.61,0.45,-0.26,1.16,1.18,47.95,-0.32,0.72,7.89,-6.59,65.53,50,67.95,50.74,-100,false,topN,Leader,5,0,유망
Leader_TOP5,ALL,3,cohort,2860,1880,4740,1.05,2.05,1.45,-1,1.36,1.46,50.21,0.11,1.63,12.54,-8.99,76.28,63.3,77.39,62.34,-100,false,topN,Leader,5,0.66,유망
Leader_TOP5,ALL,5,cohort,2860,1860,4720,1.64,3.48,2.37,-1.84,1.47,1.68,50.7,0.26,2.55,16.4,-10.65,80.86,70.38,80.91,67.96,-100,false,topN,Leader,5,1.33,유망
Leader_TOP5,ALL,10,cohort,2860,1810,4670,3.11,6.51,4.43,-3.4,1.73,2.04,51.66,0.9,4.54,24.7,-13.54,86.02,77.68,85.58,75.75,-100,false,topN,Leader,5,2.7,유망
Leader_TOP5,ALL,20,cohort,2860,1710,4570,6.7,12.44,8.85,-5.74,2.38,2.52,52.46,1.7,7.67,39.44,-16.86,90.53,84.74,87.78,79.36,-100,false,topN,Leader,5,5.24,유망
Leader_TOP5,ALL,60,cohort,2860,1310,4170,23.08,32.46,26.03,-9.38,5.84,3.85,57.48,9.94,8.08,91.34,-22.22,97.25,95.73,89.01,81.91,-100,false,topN,Leader,5,39.14,역효과
Leader_TOP10,ALL,1,cohort,5720,3800,9520,0.27,0.39,0.32,-0.12,1.14,1.13,46.61,-0.5,0.51,7.23,-6.1,63.68,47.42,65.82,47.18,-100,false,topN,Leader,10,0,유망
Leader_TOP10,ALL,3,cohort,5720,3760,9480,0.9,1.55,1.16,-0.65,1.33,1.37,49.34,-0.23,1.13,11.35,-8.41,75.03,61.89,76.14,60.21,-100,false,topN,Leader,10,0.66,유망
Leader_TOP10,ALL,5,cohort,5720,3720,9440,1.59,2.75,2.05,-1.16,1.49,1.58,50.05,0.06,1.82,14.74,-10,79.95,68.76,80.3,66.56,-100,false,topN,Leader,10,1.33,유망
Leader_TOP10,ALL,10,cohort,5720,3620,9340,3.29,5.83,4.27,-2.54,1.84,2.01,51.91,0.88,3.85,22.41,-12.84,85.69,77.1,85.64,74.97,-100,false,topN,Leader,10,2.7,유망
Leader_TOP10,ALL,20,cohort,5720,3420,9140,6.72,12.31,8.81,-5.59,2.47,2.66,54.65,2.9,7.54,36.76,-15.98,90.94,85.35,88.22,79.62,-100,false,topN,Leader,10,5.24,유망
Leader_TOP10,ALL,60,cohort,5720,2620,8340,22.38,38.15,27.33,-15.77,5.96,4.89,61.64,14.35,13.77,93.17,-20.76,96.91,95.46,89.85,82.6,-100,false,topN,Leader,10,39.14,역효과
Leader_TOP20,ALL,1,cohort,11440,7600,19040,0.2,0.07,0.15,0.13,1.11,1.02,45.55,-0.65,0.19,6.61,-5.89,61.25,44.91,65.76,46.25,-100,false,topN,Leader,20,0,유망
Leader_TOP20,ALL,3,cohort,11440,7520,18960,0.84,1.03,0.91,-0.19,1.33,1.25,48.23,-0.4,0.61,10.35,-8.12,72.99,59.65,75.47,59.36,-100,false,topN,Leader,20,0.66,유망
Leader_TOP20,ALL,5,cohort,11440,7440,18880,1.44,1.95,1.64,-0.51,1.48,1.41,48.7,-0.39,1.02,13.38,-9.69,77.93,66.63,79.85,65.77,-100,false,topN,Leader,20,1.33,유망
Leader_TOP20,ALL,10,cohort,11440,7240,18680,3.1,4.29,3.56,-1.19,1.84,1.73,49.56,-0.23,2.31,20,-12.54,83.9,74.75,85.28,74.06,-100,false,topN,Leader,20,2.7,유망
Leader_TOP20,ALL,20,cohort,11440,6840,18280,6.26,9.61,7.51,-3.35,2.42,2.3,53.38,1.96,4.84,32.14,-15.58,89.4,83.25,88.1,78.87,-100,false,topN,Leader,20,5.24,유망
Leader_TOP20,ALL,60,cohort,11440,5240,16680,21.25,35.59,25.75,-14.34,5.83,4.88,63.26,15.22,11.21,85.87,-19.73,96.56,94.75,90.06,82.46,,false,topN,Leader,20,39.14,역효과
Scout반등_TOP3,ALL,1,cohort,1716,1140,2856,0.2,-0.2,0.04,0.4,1.13,0.89,44.39,-0.57,-0.08,3.65,-3.33,43.16,25.26,42.46,22.11,-99.82,true,topN,Scout반등,3,0,역효과
Scout반등_TOP3,ALL,3,cohort,1716,1128,2844,0.94,-0.24,0.47,1.18,1.43,0.91,45.66,-0.67,-0.66,5.48,-4.91,57.18,39.54,56.91,38.21,-100,true,topN,Scout반등,3,0.66,역효과
Scout반등_TOP3,ALL,5,cohort,1716,1116,2832,1.54,-0.37,0.79,1.91,1.6,0.89,45.34,-0.71,-1.3,6.85,-6.19,62.63,47.4,64.52,46.24,-100,true,topN,Scout반등,3,1.33,역효과
Scout반등_TOP3,ALL,10,cohort,1716,1086,2802,3.06,-0.45,1.7,3.51,1.96,0.9,44.38,-1.51,-2.43,9.77,-8.7,72.56,59.21,74.77,60.13,-100,true,topN,Scout반등,3,2.7,역효과
Scout반등_TOP3,ALL,20,cohort,1716,1026,2742,6.28,-0.65,3.69,6.93,2.74,0.9,40.06,-2.47,-5.41,14.25,-11.89,80.41,68.62,82.26,69.3,-100,true,topN,Scout반등,3,5.24,역효과
Scout반등_TOP3,ALL,60,cohort,1716,786,2502,18.34,5.07,14.17,13.27,5.2,1.52,55.6,3.25,-19.3,33.21,-17.79,89.19,84.48,85.75,75.45,-100,false,topN,Scout반등,3,39.14,역효과
Scout반등_TOP5,ALL,1,cohort,2860,1900,4760,0.21,-0.16,0.06,0.37,1.14,0.91,45,-0.51,-0.05,3.8,-3.41,44.95,26.68,43.37,23.21,-100,true,topN,Scout반등,5,0,역효과
Scout반등_TOP5,ALL,3,cohort,2860,1880,4740,0.96,0.02,0.59,0.94,1.47,1.01,47.55,-0.23,-0.4,5.74,-4.97,59.26,41.12,57.39,38.83,-100,false,topN,Scout반등,5,0.66,역효과
Scout반등_TOP5,ALL,5,cohort,2860,1860,4720,1.58,0.13,1.01,1.45,1.64,1.04,46.4,-0.59,-0.8,7.25,-6.17,65.38,49.14,65.22,46.72,-100,false,topN,Scout반등,5,1.33,역효과
Scout반등_TOP5,ALL,10,cohort,2860,1810,4670,3.25,0.23,2.08,3.02,2.08,1.05,45.97,-0.89,-1.75,10.33,-8.55,74.31,60.22,74.53,60.61,-100,false,topN,Scout반등,5,2.7,역효과
Scout반등_TOP5,ALL,20,cohort,2860,1710,4570,6.74,0.47,4.39,6.27,2.93,1.07,42.98,-2.3,-4.3,15.27,-11.79,82.22,70.99,81.58,70.76,-100,false,topN,Scout반등,5,5.24,역효과
Scout반등_TOP5,ALL,60,cohort,2860,1310,4170,18.55,5.94,14.59,12.61,5.45,1.59,54.35,2.89,-18.44,35,-17.85,89.62,84.43,85.42,77.1,-100,false,topN,Scout반등,5,39.14,역효과
Scout반등_TOP10,ALL,1,cohort,5720,3800,9520,0.11,-0.08,0.04,0.19,1.07,0.96,45.13,-0.51,0.04,4.12,-3.62,47.58,29.29,46.97,24.95,-100,true,topN,Scout반등,10,0,역효과
Scout반등_TOP10,ALL,3,cohort,5720,3760,9480,0.69,0.29,0.53,0.4,1.33,1.11,47.74,-0.36,-0.13,6.33,-5.19,61.89,45.48,60.45,41.3,-100,false,topN,Scout반등,10,0.66,역효과
Scout반등_TOP10,ALL,5,cohort,5720,3720,9440,1.25,0.55,0.97,0.7,1.51,1.17,47.42,-0.43,-0.38,8.02,-6.39,68.52,53.87,68.01,49.7,-100,false,topN,Scout반등,10,1.33,역효과
Scout반등_TOP10,ALL,10,cohort,5720,3620,9340,2.86,1.16,2.2,1.7,1.97,1.27,46.91,-0.72,-0.82,11.53,-8.73,76.46,63.59,76.63,62.85,-100,false,topN,Scout반등,10,2.7,역효과
Scout반등_TOP10,ALL,20,cohort,5720,3420,9140,6.34,1.87,4.67,4.47,2.83,1.31,46.7,-1.37,-2.89,17.32,-11.84,83.92,74.18,83.07,72.25,-100,false,topN,Scout반등,10,5.24,역효과
Scout반등_TOP10,ALL,60,cohort,5720,2620,8340,17.91,10.08,15.45,7.83,5.48,2.11,55.84,4.03,-14.29,40.17,-17.51,91.6,86.98,87.18,79.43,-100,false,topN,Scout반등,10,39.14,역효과
Scout반등_TOP20,ALL,1,cohort,11440,7600,19040,0.09,-0.18,-0.02,0.27,1.06,0.92,44.58,-0.6,-0.07,4.39,-4,49.62,31.55,50.14,28.91,-100,true,topN,Scout반등,20,0,역효과
Scout반등_TOP20,ALL,3,cohort,11440,7520,18960,0.58,0.22,0.43,0.36,1.29,1.07,47.14,-0.47,-0.2,6.79,-5.75,63.3,47.61,63.47,45,-100,false,topN,Scout반등,20,0.66,역효과
Scout반등_TOP20,ALL,5,cohort,11440,7440,18880,1.06,0.63,0.89,0.43,1.45,1.18,47.1,-0.51,-0.3,8.74,-7.02,70.26,56.01,70.19,53.2,-100,false,topN,Scout반등,20,1.33,역효과
Scout반등_TOP20,ALL,10,cohort,11440,7240,18680,2.4,1.16,1.92,1.24,1.82,1.25,46.53,-0.79,-0.82,12.45,-9.5,77.78,66.09,78.9,65.66,-100,false,topN,Scout반등,20,2.7,역효과
Scout반등_TOP20,ALL,20,cohort,11440,6840,18280,5.19,2.3,4.11,2.89,2.52,1.37,48.07,-0.76,-2.47,18.53,-12.6,84.46,76.11,84.52,74.24,-100,false,topN,Scout반등,20,5.24,역효과
Scout반등_TOP20,ALL,60,cohort,11440,5240,16680,16.97,14.6,16.22,2.37,5.27,2.63,53.85,2.66,-9.77,46.64,-17.6,92.58,88.93,88.91,81.56,-100,false,topN,Scout반등,20,39.14,역효과
