sweep,cut,direction,strategy,horizonDays,trainTrades,testTrades,trainAvgPct,testAvgPct,testPF,neighbourTestAvg,verdict
combinedScore|gte,50,gte,종합점수_gte50,10,38,27,2.53,6.59,1.95,8.06 / 6.88,견고 가능성
combinedScore|gte,60,gte,종합점수_gte60,10,17,20,2.3,6.88,1.85,6.59 / 16.42,견고 가능성
leaderScore|gte,60,gte,Leader점수_gte60,10,123,126,2.76,6.99,2.61,6.29 / 6.27,견고 가능성
leaderScore|gte,70,gte,Leader점수_gte70,10,93,116,3.88,6.27,2.35,6.99 / 7.13,견고 가능성
leaderScore|gte,80,gte,Leader점수_gte80,10,69,86,3.28,7.13,2.53,6.27 / 8.11,견고 가능성
leaderScore|gte,85,gte,Leader점수_gte85,10,51,72,4.57,8.11,2.73,7.13 / 8.26,견고 가능성
rs20|gte,60,gte,RS20_gte60,10,149,95,2.94,5.28,1.96,4.56 / 5.28,견고 가능성
rs20|gte,70,gte,RS20_gte70,10,149,95,2.94,5.28,1.96,5.28 / 6.73,견고 가능성
rs20|gte,80,gte,RS20_gte80,10,86,57,3.82,6.73,2.19,5.28 / 6.73,견고 가능성
drawdownFromHighPct|lte,-50,lte,낙폭_lte-50,10,52,19,0.28,6.74,3.56,12.22 / 4.57,견고 가능성
drawdownFromHighPct|lte,-30,lte,낙폭_lte-30,10,130,64,1.72,0.2,1.03,4.57 / 0.95,견고 가능성
drawdownFromHighPct|lte,-15,lte,낙폭_lte-15,10,219,102,1.23,1.38,1.24,0.95 / 4.09,견고 가능성
scoutRiskScore|lte,39,lte,Risk_lte39,10,245,129,1.75,7,2.45,12.38 / 5.5,견고 가능성
scoutRiskScore|lte,50,lte,Risk_lte50,10,260,164,1.97,5.5,2.06,7 / 5.57,견고 가능성
scoutStabilizeScore|gte,65,gte,Stab_gte65,10,195,131,1.94,6.15,2.14,4.62 / 7.38,견고 가능성
scoutStabilizeScore|gte,80,gte,Stab_gte80,10,151,105,2.18,7.38,2.74,6.15 / 8.51,견고 가능성
liquidityScore|gte,50,gte,거래강도_gte50,10,35,35,1.98,7.55,2.24,7.81 / 7.54,견고 가능성
liquidityScore|gte,60,gte,거래강도_gte60,10,19,24,2.74,7.54,2,7.55 / 4.95,견고 가능성
liquidityScore|gte,80,gte,거래강도_gte80,10,6,10,3.1,-0.05,1,4.95 / 8.65,과최적화 위험
