strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
Leader_B + Risk_0~24,"leaderGrade in [B] AND scoutRiskScore between [0,24]",5,cooldown,78,48,126,0.85,5.61,2.66,-4.76,1.34,4.36,58.33,3.5,0.67,12.3,-4.77,81.25,68.75,47.92,41.67,-19.83,false,leaderGrade×risk,2.56,유망
Leader_B + Risk_0~24,"leaderGrade in [B] AND scoutRiskScore between [0,24]",10,cooldown,55,34,89,1.7,10.28,4.98,-8.58,1.5,4.84,76.47,8.79,-1.43,20.23,-6.88,88.24,85.29,52.94,50,-22.04,false,leaderGrade×risk,5.57,유망
Leader_B + Risk_25~39,"leaderGrade in [B] AND scoutRiskScore between [25,39]",5,cooldown,28,80,108,0.07,1.92,1.44,-1.85,1.02,1.46,50,0.35,-1.22,11.32,-8.53,81.25,61.25,75,61.25,-67.72,false,leaderGrade×risk,2.56,역효과
Leader_B + Risk_25~39,"leaderGrade in [B] AND scoutRiskScore between [25,39]",10,cooldown,23,55,78,2.56,5.73,4.79,-3.17,1.71,2.09,61.82,2.75,-0.11,19.06,-10.32,85.45,74.55,78.18,65.45,-78.54,false,leaderGrade×risk,5.57,유망
Leader_B + Risk_40~50,"leaderGrade in [B] AND scoutRiskScore between [40,50]",5,cooldown,7,38,45,11.43,2.36,3.77,9.07,28.17,1.68,52.63,1.1,0,11.06,-7.99,78.95,65.79,68.42,57.89,-43.21,false,leaderGrade×risk,2.56,역효과
Leader_B + Risk_40~50,"leaderGrade in [B] AND scoutRiskScore between [40,50]",10,cooldown,5,30,35,11.02,9.69,9.88,1.33,6.48,4.11,60,1.21,3.55,19.54,-9.5,90,83.33,73.33,66.67,-23.73,false,leaderGrade×risk,5.57,유망
Leader_B + Risk_51~64,"leaderGrade in [B] AND scoutRiskScore between [51,64]",5,cooldown,0,7,7,,-6.79,-6.79,,,0.1,28.57,-8.81,-5.86,6.73,-13.31,71.43,57.14,100,100,-39.86,false,leaderGrade×risk,2.56,표본부족
Leader_B + Risk_51~64,"leaderGrade in [B] AND scoutRiskScore between [51,64]",10,cooldown,0,6,6,,-8.27,-8.27,,,0.33,16.67,-13.85,-2.94,9.38,-21.24,66.67,50,100,100,-46.53,false,leaderGrade×risk,5.57,표본부족
Leader_B + Risk_65+,"leaderGrade in [B] AND scoutRiskScore between [65,100]",5,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,2.56,표본부족
Leader_B + Risk_65+,"leaderGrade in [B] AND scoutRiskScore between [65,100]",10,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,5.57,표본부족
Leader_C + Risk_0~24,"leaderGrade in [C] AND scoutRiskScore between [0,24]",5,cooldown,107,12,119,1.07,6.98,1.66,-5.91,1.35,11.2,83.33,4,-4.38,11.08,-2.56,91.67,83.33,33.33,16.67,-8.07,false,leaderGrade×risk,2.56,유망
Leader_C + Risk_0~24,"leaderGrade in [C] AND scoutRiskScore between [0,24]",10,cooldown,73,8,81,2.9,10.77,3.68,-7.87,1.88,13.8,87.5,9.11,-5.96,18.05,-3.23,87.5,75,37.5,25,-6.73,false,leaderGrade×risk,5.57,유망
Leader_C + Risk_25~39,"leaderGrade in [C] AND scoutRiskScore between [25,39]",5,cooldown,34,47,81,1.27,1.87,1.62,-0.6,1.84,1.44,55.32,2.36,-0.03,11.03,-9.62,78.72,70.21,74.47,57.45,-70.14,false,leaderGrade×risk,2.56,역효과
Leader_C + Risk_25~39,"leaderGrade in [C] AND scoutRiskScore between [25,39]",10,cooldown,25,31,56,2.18,6.7,4.68,-4.52,2.19,2.3,61.29,3.25,1.68,17.53,-12.5,90.32,83.87,74.19,64.52,-71.85,false,leaderGrade×risk,5.57,유망
Leader_C + Risk_40~50,"leaderGrade in [C] AND scoutRiskScore between [40,50]",5,cooldown,14,42,56,0.47,1.89,1.53,-1.42,1.23,1.45,59.52,2.75,-2.3,11.19,-8.51,80.95,69.05,64.29,59.52,-41.36,false,leaderGrade×risk,2.56,역효과
Leader_C + Risk_40~50,"leaderGrade in [C] AND scoutRiskScore between [40,50]",10,cooldown,10,33,43,3.98,7.73,6.86,-3.75,2.67,2.73,60.61,5.67,0.11,19.24,-10.51,90.91,78.79,75.76,69.7,-56.38,false,leaderGrade×risk,5.57,유망
Leader_C + Risk_51~64,"leaderGrade in [C] AND scoutRiskScore between [51,64]",5,cooldown,0,14,14,,-2.63,-2.63,,,0.61,35.71,-3.15,-2.84,11.03,-10.43,85.71,57.14,85.71,71.43,-55.99,false,leaderGrade×risk,2.56,표본부족
Leader_C + Risk_51~64,"leaderGrade in [C] AND scoutRiskScore between [51,64]",10,cooldown,0,9,9,,-3.2,-3.2,,,0.61,22.22,-4.28,-5.82,16.45,-12.49,88.89,66.67,88.89,88.89,-51.12,false,leaderGrade×risk,5.57,표본부족
Leader_C + Risk_65+,"leaderGrade in [C] AND scoutRiskScore between [65,100]",5,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,2.56,표본부족
Leader_C + Risk_65+,"leaderGrade in [C] AND scoutRiskScore between [65,100]",10,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,5.57,표본부족
Leader_D + Risk_0~24,"leaderGrade in [D] AND scoutRiskScore between [0,24]",5,cooldown,187,3,190,0.78,0.26,0.77,0.52,1.31,1.07,66.67,2.44,-3.06,14.07,-8.21,100,100,100,33.33,-10.4,false,leaderGrade×risk,2.56,표본부족
Leader_D + Risk_0~24,"leaderGrade in [D] AND scoutRiskScore between [0,24]",10,cooldown,113,3,116,0.78,5.67,0.91,-4.89,1.22,20.83,66.67,3.77,-2.46,15.15,-8.21,100,100,100,33.33,-0.86,false,leaderGrade×risk,5.57,표본부족
