strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
종합점수_40~49,"combinedScore between [40,49]",5,cooldown,203,112,315,1.1,4.97,2.48,-3.87,1.37,2.41,62.5,2.17,0.58,13.71,-8.12,81.25,71.43,72.32,54.46,-64.46,false,combined,2.56,유망
종합점수_40~49,"combinedScore between [40,49]",10,cooldown,141,76,217,2.59,7.61,4.35,-5.02,1.82,2.52,60.53,4.34,0.5,20.08,-11.09,85.53,76.32,80.26,63.16,-84.84,false,combined,5.57,유망
종합점수_50~59,"combinedScore between [50,59]",5,cooldown,30,16,46,2.05,-0.19,1.27,2.24,1.68,0.97,56.25,0.85,0.03,15.85,-10.6,75,75,81.25,75,-50.49,true,combined,2.56,역효과
종합점수_50~59,"combinedScore between [50,59]",10,cooldown,29,15,44,2.43,2.37,2.41,0.06,1.71,1.33,40,-5.88,3.62,22.61,-13.31,80,73.33,93.33,86.67,-47.03,false,combined,5.57,역효과
종합점수_60~69,"combinedScore between [60,69]",5,cooldown,13,22,35,6.94,2.29,4.02,4.65,3.62,1.35,50,-0.37,-2.86,16.65,-11.01,81.82,68.18,81.82,68.18,-49.08,false,combined,2.56,역효과
종합점수_60~69,"combinedScore between [60,69]",10,cooldown,11,20,31,7.36,6.21,6.62,1.15,3.29,1.71,45,-1.43,-1.36,25.53,-14.89,80,75,85,75,-61.48,false,combined,5.57,유망
종합점수_70~79,"combinedScore between [70,79]",5,cooldown,10,2,12,0.66,13.49,2.8,-12.83,1.17,3.34,50,13.49,-0.75,22.63,-7.51,50,50,50,50,-11.51,false,combined,2.56,표본부족
종합점수_70~79,"combinedScore between [70,79]",10,cooldown,10,2,12,-4.99,25.6,0.1,-30.59,0.38,,100,25.6,8.23,38.78,-7.51,100,100,50,50,0,false,combined,5.57,표본부족
종합점수_80+,"combinedScore between [80,999]",5,cooldown,0,1,1,,10.3,10.3,,,,100,10.3,7.1,21.97,-0.7,100,100,0,0,0,false,combined,2.56,표본부족
종합점수_80+,"combinedScore between [80,999]",10,cooldown,0,1,1,,-1.94,-1.94,,,0,0,-1.94,-0.12,21.97,-7.62,100,100,100,100,-1.94,false,combined,5.57,표본부족
