key,n,avgPct,medianPct,winPct,pf,mfePct,maePct,excessPct
Leader A,1197,3.85,-0.39,49.21,1.73,18.07,-11.31,1.35
Leader A + Risk<=39,1184,3.9,-0.23,49.41,1.74,17.99,-11.3,1.45
Leader A + Risk<=24,658,4.37,0.17,50.61,2.08,15.97,-8.86,0.8
Leader A + Stab>=65,1167,4.03,-0.23,49.7,1.76,18.32,-11.27,1.57
Leader A + Stab>=80,1083,4.2,0.14,50.05,1.78,18.91,-11.32,1.63
Leader A + Stab>=90,886,4.46,-0.51,48.87,1.83,19.03,-11.58,1.8
Leader A + Risk<=39 + Stab>=65,1157,4.05,-0.04,49.96,1.77,18.28,-11.22,1.61
Leader A + Risk<=24 + Stab>=80,592,4.6,0.51,51.86,2.15,16.36,-8.88,0.93
Leader A/B + Risk<=24 + Stab>=80,776,4.1,0.71,52.71,2.06,15.7,-8.74,0.51
