strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
COMBINED_TOP,"combinedRank between [1,3]",5,cooldown,200,89,289,1.3,3.56,2,-2.26,1.49,1.98,61.8,1.92,-0.86,12.05,-7.77,76.4,65.17,67.42,48.31,-78.52,false,preset,2.56,유망
COMBINED_TOP,"combinedRank between [1,3]",10,cooldown,140,66,206,2.46,6.65,3.8,-4.19,1.81,2.4,57.58,2.57,0.32,19.81,-10.26,84.85,78.79,74.24,54.55,-88.16,false,preset,5.57,유망
COMBINED_SPLIT,combinedScore gte 60,5,cooldown,19,22,41,4.87,4.07,4.44,0.8,2.34,1.68,54.55,1.63,-1.79,18.56,-10.45,81.82,68.18,77.27,63.64,-49.08,false,preset,2.56,유망
COMBINED_SPLIT,combinedScore gte 60,10,cooldown,17,20,37,2.3,6.88,4.77,-4.58,1.39,1.85,45,-1.4,-0.78,26.33,-14.29,80,75,85,75,-61.48,false,preset,5.57,유망
TIMING_TOP10,"combinedRank between [1,10]",5,cooldown,200,89,289,1.3,3.56,2,-2.26,1.49,1.98,61.8,1.92,-0.86,12.05,-7.77,76.4,65.17,67.42,48.31,-78.52,false,preset,2.56,유망
TIMING_TOP10,"combinedRank between [1,10]",10,cooldown,140,66,206,2.46,6.65,3.8,-4.19,1.81,2.4,57.58,2.57,0.32,19.81,-10.26,84.85,78.79,74.24,54.55,-88.16,false,preset,5.57,유망
LEADER_A,leaderGrade in [A],5,cooldown,87,119,206,1.79,3.95,3.04,-2.16,1.54,1.88,60.5,2.89,0.88,13.85,-8.64,87.39,73.11,70.59,57.14,-73.86,false,preset,2.56,유망
LEADER_A,leaderGrade in [A],10,cooldown,51,72,123,4.57,8.11,6.64,-3.54,2.35,2.73,65.28,4.51,1.81,22.34,-10.4,91.67,80.56,79.17,63.89,-71.95,false,preset,5.57,유망
LEADER_AB,"leaderGrade in [A,B]",5,cooldown,157,205,362,1.72,3.74,2.86,-2.02,1.66,2.01,57.07,2.52,0.39,12.88,-7.72,81.95,67.8,71.71,53.66,-86.42,false,preset,2.56,유망
LEADER_AB,"leaderGrade in [A,B]",10,cooldown,93,116,209,3.88,6.27,5.21,-2.39,2.16,2.35,61.21,4.06,0.19,19.68,-10.6,88.79,81.03,75,63.79,-85.88,false,preset,5.57,유망
LEADER_A_RS80,leaderGrade in [A] AND rs20 gte 80,5,cooldown,50,63,113,3.8,5.51,4.75,-1.71,2.51,2.68,57.14,2.09,1.37,16.87,-7.71,87.3,74.6,74.6,52.38,-70.2,false,preset,2.56,유망
LEADER_A_RS80,leaderGrade in [A] AND rs20 gte 80,10,cooldown,33,40,73,6.57,10.22,8.57,-3.65,2.87,3.62,60,5.58,2.64,26.25,-8.57,92.5,82.5,80,62.5,-54.18,false,preset,5.57,유망
LEADER_A_RS90,leaderGrade in [A] AND rs20 gte 90,5,cooldown,50,63,113,3.8,5.51,4.75,-1.71,2.51,2.68,57.14,2.09,1.37,16.87,-7.71,87.3,74.6,74.6,52.38,-70.2,false,preset,2.56,유망
LEADER_A_RS90,leaderGrade in [A] AND rs20 gte 90,10,cooldown,33,40,73,6.57,10.22,8.57,-3.65,2.87,3.62,60,5.58,2.64,26.25,-8.57,92.5,82.5,80,62.5,-54.18,false,preset,5.57,유망
REBOUND_READY,reboundStateKey eq ready,5,cooldown,190,56,246,0.07,2.19,0.55,-2.12,1.02,1.5,39.29,-2.49,0.04,12,-9.28,66.07,55.36,80.36,69.64,-69.54,false,preset,2.56,역효과
REBOUND_READY,reboundStateKey eq ready,10,cooldown,129,37,166,1.14,5.72,2.16,-4.58,1.31,2.61,59.46,2.95,0.39,19.45,-10.81,86.49,78.38,78.38,67.57,-60.82,false,preset,5.57,유망
